"ExpireTime","RaidId","AllyCode","Name","Score","Rank"
"10/23/2023 17:39:57 +00:00","kraytdragon",0,"Unknown",935312,48
"10/20/2023 17:36:38 +00:00","kraytdragon",452518631,"Puck",3150000,19
"10/20/2023 17:36:38 +00:00","kraytdragon",197788324,"Skaar",4279903,7
"10/20/2023 17:36:38 +00:00","kraytdragon",443495965,"Verage Valoor",3171980,18
"10/20/2023 17:36:38 +00:00","kraytdragon",133674987,"Tani Mayse",2341663,33
"10/20/2023 17:36:38 +00:00","kraytdragon",371731743,"Trask droll",3793398,11
"10/20/2023 17:36:38 +00:00","kraytdragon",124165769,"Tyrian",300000,48
"10/20/2023 17:36:38 +00:00","kraytdragon",597271922,"Scof",1408872,41
"10/20/2023 17:36:38 +00:00","kraytdragon",793549187,"Dârth Jungle Asian",3121030,22
"10/20/2023 17:36:38 +00:00","kraytdragon",585576166,"Patrick4",3203212,16
"10/20/2023 17:36:38 +00:00","kraytdragon",394321369,"Javin Fis",2424193,30
"10/20/2023 17:36:38 +00:00","kraytdragon",858966128,"T",3130788,21
"10/20/2023 17:36:38 +00:00","kraytdragon",299292257,"G4reth",3315416,15
"10/20/2023 17:36:38 +00:00","kraytdragon",749275383,"Dava",3145302,20
"10/20/2023 17:36:38 +00:00","kraytdragon",834874213,"BobbyMarshal",2432565,29
"10/20/2023 17:36:38 +00:00","kraytdragon",256121811,"JHang",2381517,31
"10/20/2023 17:36:38 +00:00","kraytdragon",643373276,"Avatany",0,49
"10/20/2023 17:36:38 +00:00","kraytdragon",454629175,"Delara Exibil",3901146,10
"10/20/2023 17:36:38 +00:00","kraytdragon",825371335,"Nomad",4363108,5
"10/20/2023 17:36:38 +00:00","kraytdragon",396743814,"Rhil Margos",2356490,32
"10/20/2023 17:36:38 +00:00","kraytdragon",625367959,"Blattu",4225623,8
"10/20/2023 17:36:38 +00:00","kraytdragon",334861731,"JediAhsoka",1284454,44
"10/20/2023 17:36:38 +00:00","kraytdragon",964121997,"DarthDax",4177724,9
"10/20/2023 17:36:38 +00:00","kraytdragon",814134474,"RoTahn Taske",3488997,13
"10/20/2023 17:36:38 +00:00","kraytdragon",132898449,"Jay Maop",1200000,45
"10/20/2023 17:36:38 +00:00","kraytdragon",678195521,"XCAL",4624987,3
"10/20/2023 17:36:38 +00:00","kraytdragon",175993797,"El Jefe",3372045,14
"10/20/2023 17:36:38 +00:00","kraytdragon",255925733,"Fidget92",1319544,43
"10/20/2023 17:36:38 +00:00","kraytdragon",768488681,"Tranced",4350114,6
"10/20/2023 17:36:38 +00:00","kraytdragon",214224828,"JakeY",2720428,25
"10/20/2023 17:36:38 +00:00","kraytdragon",478966819,"Lambert",3034337,23
